Age,BMI,Pregnancy Age,Family History,Radiation Exposure,Birth Control,Menstrual Cycle Age,Last Menstrual Cycle Age,Hormone Therapy,Alcohol Consumption,Inherited Gene,Previous History,Hormonal,Dense Breast Tissue,Risk,Consequent,agg,pregage,lm,mc,bi
56.68162616,24.41137594,22.22118812,Absent,Moderate,High,12.05054305,50.4670027,None,None,Absent,None,Imbalanced,Absent,Moderate,0.345883588,Young,Young,Older,Young,Low
56.74320432,24.40277768,22.19267327,Present,High,Moderate,12.04963096,50.47711971,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.345425958,Older,Middle-aged,Middle-aged,Young,Moderate
56.80478248,24.39417942,22.16415842,Present,Moderate,Moderate,12.04871887,50.48723672,High,Low,Absent,Present,Imbalanced,Absent,Low,0.344968328,Older,Young,Older,Young,High
56.86636064,24.38558116,22.13564356,Present,High,High,12.04780678,50.49735374,Moderate,None,Absent,None,Balanced,Present,High,0.344510698,Middle-aged,Young,Older,Young,Moderate
56.92793879,24.3769829,22.10712871,Present,Moderate,High,12.04689469,50.50747075,Low,High,Present,Present,Balanced,Present,Moderate,0.344053067,Older,Middle-aged,Older,Young,High
56.98951695,24.36838464,22.07861386,Absent,Low,None,12.0459826,50.51758776,Moderate,High,Absent,Present,Balanced,Present,Low,0.343595437,Older,Young,Older,Young,Low
57.05109511,24.35978638,22.05009901,Present,Moderate,Low,12.04507051,50.52770477,None,None,Present,Present,Balanced,Present,Moderate,0.343137807,Older,Young,Older,Young,Low
57.11267327,24.35118812,22.02158416,Absent,Moderate,Moderate,12.04415842,50.53782178,None,None,Present,Present,Imbalanced,Present,Moderate,0.342680177,Middle-aged,Middle-aged,Middle-aged,Young,High
57.17425143,24.34258986,21.99306931,Present,High,Low,12.04324632,50.54793879,None,High,Absent,Present,Balanced,Absent,High,0.342222547,Young,Young,Older,Young,Low
57.23582958,24.3339916,21.96455446,Present,High,High,12.04233423,50.55805581,Low,Low,Absent,Present,Imbalanced,Present,Low,0.341764917,Middle-aged,Young,Middle-aged,Young,Low
57.29740774,24.32539334,21.9360396,Present,Moderate,None,12.04142214,50.56817282,None,None,Absent,None,Imbalanced,Present,Moderate,0.341307287,Young,Middle-aged,Middle-aged,Young,High
57.3589859,24.31679508,21.90752475,Absent,High,Moderate,12.04051005,50.57828983,Low,None,Present,Present,Balanced,Absent,Moderate,0.340849656,Young,Young,Older,Young,Moderate
57.42056406,24.30819682,21.8790099,Present,Moderate,Low,12.03959796,50.58840684,None,None,Present,None,Imbalanced,Present,Low,0.340392026,Middle-aged,Young,Middle-aged,Young,High
57.48214221,24.29959856,21.85049505,Absent,Low,None,12.03868587,50.59852385,None,Low,Present,Present,Balanced,Present,Low,0.339934396,Middle-aged,Young,Middle-aged,Young,Low
57.54372037,24.2910003,21.8219802,Present,High,None,12.03777378,50.60864086,None,High,Absent,Present,Balanced,Absent,Low,0.339476766,Middle-aged,Young,Middle-aged,Young,High
57.60529853,24.28240204,21.79346535,Present,High,Low,12.03686169,50.61875788,Moderate,Moderate,Present,None,Balanced,Present,Low,0.339019136,Young,Young,Older,Young,Low
57.66687669,24.27380378,21.7649505,Present,High,None,12.03594959,50.62887489,High,None,Present,Present,Imbalanced,Absent,High,0.338561506,Young,Young,Older,Young,Low
57.72845485,24.26520552,21.73643564,Absent,Moderate,None,12.0350375,50.6389919,None,Low,Absent,None,Balanced,Absent,Moderate,0.338103876,Older,Middle-aged,Middle-aged,Young,High
57.790033,24.25660726,21.70792079,Absent,High,High,12.03412541,50.64910891,None,None,Absent,None,Balanced,Absent,Low,0.337646245,Middle-aged,Young,Middle-aged,Young,High
57.85161116,24.248009,21.67940594,Absent,Low,High,12.03321332,50.65922592,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.337188615,Older,Young,Middle-aged,Young,Low
57.91318932,24.23941074,21.65089109,Absent,Moderate,Moderate,12.03230123,50.66934293,Low,None,Present,None,Imbalanced,Absent,High,0.336730985,Young,Young,Older,Young,Low
57.97476748,24.23081248,21.62237624,Present,Low,Moderate,12.03138914,50.67945995,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.336273355,Older,Young,Middle-aged,Young,Moderate
58.03634563,24.22221422,21.59386139,Present,Low,High,12.03047705,50.68957696,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.335815725,Young,Young,Middle-aged,Young,Low
58.09792379,24.21361596,21.56534653,Absent,High,Low,12.02956496,50.69969397,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.335358095,Older,Young,Middle-aged,Young,High
58.15950195,24.2050177,21.53683168,Present,High,Low,12.02865287,50.70981098,High,None,Absent,Present,Balanced,Absent,Low,0.334900465,Middle-aged,Young,Middle-aged,Young,High
58.22108011,24.19641944,21.50831683,Present,Low,High,12.02774077,50.71992799,None,High,Absent,None,Imbalanced,Present,Low,0.334442835,Young,Middle-aged,Older,Young,Low
58.28265827,24.18782118,21.47980198,Present,Low,None,12.02682868,50.730045,None,Low,Present,Present,Imbalanced,Absent,Low,0.333985204,Middle-aged,Young,Older,Young,Moderate
58.34423642,24.17922292,21.45128713,Absent,Moderate,Moderate,12.02591659,50.74016202,None,None,Absent,None,Imbalanced,Absent,High,0.333527574,Older,Young,Middle-aged,Young,Moderate
58.40581458,24.17062466,21.42277228,Present,Moderate,Moderate,12.0250045,50.75027903,Low,Low,Absent,Present,Balanced,Present,Low,0.333069944,Older,Young,Middle-aged,Young,Moderate
58.46739274,24.1620264,21.39425743,Absent,Moderate,Low,12.02409241,50.76039604,Low,High,Present,Present,Imbalanced,Present,High,0.332612314,Middle-aged,Middle-aged,Older,Young,Low
58.5289709,24.15342814,21.36574257,Absent,Low,Moderate,12.02318032,50.77051305,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.332154684,Young,Middle-aged,Older,Young,Low
58.59054905,24.14482988,21.33722772,Absent,Moderate,None,12.02226823,50.78063006,None,Low,Absent,None,Balanced,Present,Low,0.331697054,Middle-aged,Young,Older,Young,High
58.65212721,24.13623162,21.30871287,Present,Low,Low,12.02135614,50.79074707,Low,None,Absent,None,Balanced,Present,Low,0.331239424,Middle-aged,Young,Middle-aged,Young,Low
58.71370537,24.12763336,21.28019802,Present,Low,Low,12.02044404,50.80086409,Low,High,Absent,None,Imbalanced,Present,Low,0.330781793,Young,Young,Middle-aged,Young,Low
58.77528353,24.1190351,21.25168317,Absent,High,Low,12.01953195,50.8109811,High,High,Absent,None,Imbalanced,Present,High,0.330324163,Middle-aged,Young,Middle-aged,Young,High
58.83686169,24.11043684,21.22316832,Absent,Low,None,12.01861986,50.82109811,Low,Moderate,Absent,None,Balanced,Absent,Low,0.329866533,Older,Young,Older,Young,High
58.89843984,24.10183858,21.19465347,Present,High,Moderate,12.01770777,50.83121512,Low,None,Present,None,Balanced,Present,Low,0.329408903,Young,Middle-aged,Middle-aged,Young,Low
58.960018,24.09324032,21.16613861,Present,High,None,12.01679568,50.84133213,High,Moderate,Present,None,Imbalanced,Present,High,0.328951273,Middle-aged,Young,Middle-aged,Young,High
59.02159616,24.08464206,21.13762376,Absent,High,Low,12.01588359,50.85144914,High,High,Present,Present,Imbalanced,Present,Low,0.328493643,Middle-aged,Young,Older,Young,Low
59.08317432,24.0760438,21.10910891,Absent,Low,Low,12.0149715,50.86156616,High,Low,Absent,Present,Imbalanced,Present,High,0.328036013,Older,Middle-aged,Older,Young,High
59.14475248,24.06744554,21.08059406,Absent,Moderate,None,12.01405941,50.87168317,Moderate,High,Absent,None,Balanced,Present,High,0.327578383,Young,Middle-aged,Middle-aged,Young,Moderate
59.20633063,24.05884728,21.05207921,Present,High,None,12.01314731,50.88180018,None,High,Present,Present,Imbalanced,Present,Low,0.327120752,Older,Young,Older,Young,Low
59.26790879,24.05024902,21.02356436,Present,Moderate,Low,12.01223522,50.89191719,High,Low,Present,Present,Balanced,Absent,High,0.326663122,Young,Young,Middle-aged,Young,Moderate
59.32948695,24.04165077,20.9950495,Absent,Moderate,Moderate,12.01132313,50.9020342,High,High,Present,Present,Imbalanced,Absent,Moderate,0.326205492,Older,Middle-aged,Middle-aged,Young,Low
59.39106511,24.03305251,20.96653465,Absent,High,Moderate,12.01041104,50.91215122,Low,High,Absent,None,Imbalanced,Present,Low,0.325747862,Older,Young,Older,Young,Low
59.45264326,24.02445425,20.9380198,Present,Low,Moderate,12.00949895,50.92226823,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.325290232,Young,Young,Older,Young,High
59.51422142,24.01585599,20.90950495,Absent,High,Low,12.00858686,50.93238524,None,Moderate,Absent,None,Balanced,Present,Moderate,0.324832602,Middle-aged,Young,Middle-aged,Young,High
59.57579958,24.00725773,20.8809901,Absent,Moderate,None,12.00767477,50.94250225,Moderate,High,Absent,Present,Imbalanced,Present,High,0.324374972,Young,Young,Middle-aged,Young,High
59.63737774,23.99865947,20.85247525,Present,Low,Low,12.00676268,50.95261926,High,None,Present,Present,Imbalanced,Absent,High,0.323917341,Older,Young,Older,Young,Low
59.6989559,23.99006121,20.8239604,Present,High,Moderate,12.00585059,50.96273627,None,High,Absent,None,Balanced,Present,Low,0.323459711,Middle-aged,Young,Older,Young,Low
59.76053405,23.98146295,20.79544554,Present,Moderate,High,12.00493849,50.97285329,None,Moderate,Absent,Present,Balanced,Present,Low,0.323002081,Young,Young,Older,Young,High
59.82211221,23.97286469,20.76693069,Present,High,None,12.0040264,50.9829703,None,None,Present,Present,Balanced,Absent,Moderate,0.322544451,Older,Young,Middle-aged,Young,High
59.88369037,23.96426643,20.73841584,Present,High,None,12.00311431,50.99308731,None,None,Absent,Present,Balanced,Present,Low,0.322086821,Young,Young,Older,Young,Low
59.94526853,23.95566817,20.70990099,Present,Low,Moderate,12.00220222,51.00320432,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.321629191,Middle-aged,Young,Middle-aged,Young,High
60.00684668,23.94706991,20.68138614,Present,High,High,12.00129013,51.01332133,Low,None,Absent,Present,Balanced,Absent,Low,0.321171561,Older,Middle-aged,Middle-aged,Young,Low
60.06842484,23.93847165,20.65287129,Present,Moderate,High,12.00037804,51.02343834,Moderate,Low,Present,Present,Balanced,Absent,Moderate,0.32071393,Middle-aged,Young,Older,Young,High
60.130003,23.92987339,20.62435644,Absent,High,High,11.99946595,51.03355536,Low,Low,Absent,None,Imbalanced,Absent,High,0.3202563,Older,Young,Older,Young,Moderate
60.19158116,23.92127513,20.59584158,Absent,Low,Low,11.99855386,51.04367237,Low,Moderate,Present,Present,Balanced,Absent,High,0.31979867,Young,Young,Middle-aged,Young,Moderate
60.25315932,23.91267687,20.56732673,Absent,Moderate,None,11.99764176,51.05378938,Low,High,Absent,Present,Balanced,Present,Moderate,0.31934104,Middle-aged,Middle-aged,Middle-aged,Young,Low
60.31473747,23.90407861,20.53881188,Absent,Low,Low,11.99672967,51.06390639,High,Moderate,Present,Present,Balanced,Absent,Moderate,0.31888341,Middle-aged,Young,Middle-aged,Young,Low
60.37631563,23.89548035,20.51029703,Absent,Low,Low,11.99581758,51.0740234,None,None,Absent,Present,Balanced,Absent,High,0.31842578,Older,Young,Middle-aged,Young,Low
60.43789379,23.88688209,20.48178218,Absent,Moderate,Low,11.99490549,51.08414041,High,Low,Present,None,Imbalanced,Present,Moderate,0.31796815,Young,Young,Older,Young,Moderate
60.49947195,23.87828383,20.45326733,Present,Moderate,Low,11.9939934,51.09425743,High,None,Absent,Present,Imbalanced,Present,Moderate,0.31751052,Young,Young,Middle-aged,Young,Moderate
60.56105011,23.86968557,20.42475248,Present,Moderate,High,11.99308131,51.10437444,None,None,Present,None,Balanced,Absent,Low,0.317052889,Older,Middle-aged,Middle-aged,Young,Moderate
60.62262826,23.86108731,20.39623762,Present,Low,Moderate,11.99216922,51.11449145,Moderate,Moderate,Absent,Present,Balanced,Absent,Low,0.316595259,Middle-aged,Young,Middle-aged,Young,Low
60.68420642,23.85248905,20.36772277,Absent,Low,High,11.99125713,51.12460846,None,High,Absent,None,Balanced,Absent,Moderate,0.316137629,Young,Young,Middle-aged,Young,Low
60.74578458,23.84389079,20.33920792,Present,Moderate,High,11.99034503,51.13472547,Moderate,Low,Absent,None,Imbalanced,Absent,High,0.315679999,Middle-aged,Young,Middle-aged,Young,Moderate
60.80736274,23.83529253,20.31069307,Present,Low,Moderate,11.98943294,51.14484248,None,Moderate,Absent,None,Balanced,Present,Moderate,0.315222369,Middle-aged,Young,Middle-aged,Young,Moderate
60.86894089,23.82669427,20.28217822,Present,High,High,11.98852085,51.1549595,High,Low,Present,None,Balanced,Absent,Low,0.314764739,Middle-aged,Young,Middle-aged,Young,Low
60.93051905,23.81809601,20.25366337,Absent,Moderate,High,11.98760876,51.16507651,Low,High,Present,Present,Balanced,Absent,Moderate,0.314307109,Middle-aged,Young,Older,Young,High
60.99209721,23.80949775,20.22514851,Present,High,Moderate,11.98669667,51.17519352,None,None,Absent,Present,Balanced,Absent,Low,0.313849478,Young,Young,Middle-aged,Young,Low
61.05367537,23.80089949,20.19663366,Absent,Moderate,Low,11.98578458,51.18531053,Low,Low,Present,Present,Imbalanced,Present,Moderate,0.313391848,Young,Young,Middle-aged,Young,High
61.11525353,23.79230123,20.16811881,Present,High,High,11.98487249,51.19542754,Moderate,Moderate,Absent,Present,Imbalanced,Absent,Moderate,0.312934218,Middle-aged,Young,Older,Young,Low
61.17683168,23.78370297,20.13960396,Absent,Moderate,Moderate,11.9839604,51.20554455,Low,Moderate,Absent,Present,Balanced,Present,Moderate,0.312476588,Middle-aged,Middle-aged,Middle-aged,Young,Low
61.23840984,23.77510471,20.11108911,Present,Moderate,Low,11.9830483,51.21566157,Moderate,None,Absent,None,Balanced,Absent,Moderate,0.312018958,Older,Young,Middle-aged,Young,High
61.299988,23.76650645,20.08257426,Absent,Low,Moderate,11.98213621,51.22577858,Moderate,Low,Absent,None,Imbalanced,Present,High,0.311561328,Middle-aged,Young,Middle-aged,Young,Low
61.36156616,23.75790819,20.05405941,Absent,High,Moderate,11.98122412,51.23589559,Moderate,High,Present,None,Balanced,Absent,Low,0.311103698,Older,Young,Older,Young,Moderate
61.42314431,23.74930993,20.02554455,Absent,High,High,11.98031203,51.2460126,None,High,Present,None,Imbalanced,Absent,Low,0.310646067,Young,Young,Middle-aged,Young,High
61.48472247,23.74071167,19.9970297,Present,Low,None,11.97939994,51.25612961,None,Moderate,Absent,None,Balanced,Absent,High,0.310188437,Young,Middle-aged,Middle-aged,Young,High
61.54630063,23.73211341,19.96851485,Present,High,None,11.97848785,51.26624662,None,Low,Absent,None,Balanced,Absent,Moderate,0.309730807,Young,Middle-aged,Middle-aged,Young,Low
61.60787879,23.72351515,19.94,Present,High,None,11.97757576,51.27636364,Low,High,Present,None,Balanced,Present,High,0.309273177,Young,Young,Middle-aged,Young,Low
61.66945695,23.71491689,19.91148515,Absent,High,Moderate,11.97666367,51.28648065,None,Moderate,Present,Present,Balanced,Present,Low,0.308815547,Young,Middle-aged,Older,Young,Low
61.7310351,23.70631863,19.8829703,Absent,Low,None,11.97575158,51.29659766,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.308357917,Middle-aged,Middle-aged,Older,Young,High
61.79261326,23.69772037,19.85445545,Present,Moderate,High,11.97483948,51.30671467,Low,None,Absent,Present,Balanced,Absent,High,0.307900287,Young,Young,Middle-aged,Young,Low
61.85419142,23.68912211,19.82594059,Present,Moderate,Moderate,11.97392739,51.31683168,Moderate,Low,Present,None,Balanced,Absent,High,0.307442657,Older,Young,Middle-aged,Young,Low
61.91576958,23.68052385,19.79742574,Present,Moderate,High,11.9730153,51.32694869,None,High,Absent,None,Balanced,Absent,High,0.306985026,Older,Young,Older,Young,Moderate
61.97734773,23.67192559,19.76891089,Present,High,Low,11.97210321,51.33706571,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.306527396,Young,Young,Middle-aged,Young,Moderate
62.03892589,23.66332733,19.74039604,Present,Moderate,Moderate,11.97119112,51.34718272,Low,Low,Present,None,Imbalanced,Absent,Low,0.306069766,Middle-aged,Middle-aged,Middle-aged,Young,Low
62.10050405,23.65472907,19.71188119,Present,Moderate,None,11.97027903,51.35729973,Moderate,Low,Present,None,Imbalanced,Present,Low,0.305612136,Young,Middle-aged,Middle-aged,Young,Moderate
62.16208221,23.64613081,19.68336634,Absent,High,Moderate,11.96936694,51.36741674,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.305154506,Young,Young,Middle-aged,Young,Moderate
62.22366037,23.63753255,19.65485149,Present,Low,Moderate,11.96845485,51.37753375,Low,High,Absent,Present,Imbalanced,Present,High,0.304696876,Young,Young,Older,Young,Moderate
62.28523852,23.62893429,19.62633663,Absent,High,Low,11.96754275,51.38765077,High,Moderate,Absent,None,Imbalanced,Present,High,0.304239246,Young,Middle-aged,Middle-aged,Young,Low
62.34681668,23.62033603,19.59782178,Present,Moderate,Low,11.96663066,51.39776778,None,None,Absent,None,Balanced,Present,Moderate,0.303781615,Older,Young,Older,Young,Low
62.40839484,23.61173777,19.56930693,Present,Low,Low,11.96571857,51.40788479,Low,None,Present,Present,Imbalanced,Present,Low,0.303323985,Older,Young,Middle-aged,Young,High
62.469973,23.60313951,19.54079208,Present,Moderate,None,11.96480648,51.4180018,Low,Low,Present,Present,Balanced,Absent,High,0.302866355,Middle-aged,Middle-aged,Middle-aged,Young,High
62.53155116,23.59454125,19.51227723,Absent,High,High,11.96389439,51.42811881,High,Low,Present,Present,Balanced,Present,Moderate,0.302408725,Young,Young,Middle-aged,Young,High
62.59312931,23.58594299,19.48376238,Absent,High,Moderate,11.9629823,51.43823582,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.301951095,Middle-aged,Middle-aged,Older,Young,Moderate
62.65470747,23.57734473,19.45524752,Absent,Low,None,11.96207021,51.44835284,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.301493465,Middle-aged,Young,Middle-aged,Young,Low
62.71628563,23.56874647,19.42673267,Absent,Moderate,Low,11.96115812,51.45846985,Low,High,Absent,Present,Balanced,Absent,Low,0.301035835,Young,Young,Middle-aged,Young,Moderate
62.77786379,23.56014821,19.39821782,Present,Moderate,High,11.96024602,51.46858686,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.300578204,Young,Young,Older,Young,High
62.83944194,23.55154995,19.36970297,Absent,Moderate,High,11.95933393,51.47870387,None,None,Absent,None,Imbalanced,Absent,Moderate,0.300120574,Young,Young,Older,Young,Low
62.9010201,23.5429517,19.34118812,Present,High,Moderate,11.95842184,51.48882088,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.299662944,Older,Middle-aged,Middle-aged,Young,Moderate
62.96259826,23.53435344,19.31267327,Present,Moderate,Moderate,11.95750975,51.49893789,High,Low,Absent,Present,Imbalanced,Absent,Low,0.299205314,Older,Young,Older,Young,High
63.02417642,23.52575518,19.28415842,Present,High,High,11.95659766,51.50905491,Moderate,None,Absent,None,Balanced,Present,High,0.298747684,Middle-aged,Young,Older,Young,Moderate
63.08575458,23.51715692,19.25564356,Present,Moderate,High,11.95568557,51.51917192,Low,High,Present,Present,Balanced,Present,Moderate,0.298290054,Older,Middle-aged,Older,Young,High
63.14733273,23.50855866,19.22712871,Absent,Low,None,11.95477348,51.52928893,Moderate,High,Absent,Present,Balanced,Present,Low,0.297832424,Older,Young,Older,Young,Low
63.20891089,23.4999604,19.19861386,Present,Moderate,Low,11.95386139,51.53940594,None,None,Present,Present,Balanced,Present,Moderate,0.297374794,Older,Young,Older,Young,Low
63.27048905,23.49136214,19.17009901,Absent,Moderate,Moderate,11.95294929,51.54952295,None,None,Present,Present,Imbalanced,Present,Moderate,0.296917163,Middle-aged,Middle-aged,Middle-aged,Young,High
63.33206721,23.48276388,19.14158416,Present,High,Low,11.9520372,51.55963996,None,High,Absent,Present,Balanced,Absent,High,0.296459533,Young,Young,Older,Young,Low
63.39364536,23.47416562,19.11306931,Present,High,High,11.95112511,51.56975698,Low,Low,Absent,Present,Imbalanced,Present,Low,0.296001903,Middle-aged,Young,Middle-aged,Young,Low
63.45522352,23.46556736,19.08455446,Present,Moderate,None,11.95021302,51.57987399,None,None,Absent,None,Imbalanced,Present,Moderate,0.295544273,Young,Middle-aged,Middle-aged,Young,High
63.51680168,23.4569691,19.0560396,Absent,High,Moderate,11.94930093,51.589991,Low,None,Present,Present,Balanced,Absent,Moderate,0.295086643,Young,Young,Older,Young,Moderate
63.57837984,23.44837084,19.02752475,Present,Moderate,Low,11.94838884,51.60010801,None,None,Present,None,Imbalanced,Present,Low,0.294629013,Middle-aged,Young,Middle-aged,Young,High
63.639958,23.43977258,18.9990099,Absent,Low,None,11.94747675,51.61022502,None,Low,Present,Present,Balanced,Present,Low,0.294171383,Middle-aged,Young,Middle-aged,Young,Low
63.70153615,23.43117432,18.97049505,Present,High,None,11.94656466,51.62034203,None,High,Absent,Present,Balanced,Absent,Low,0.293713752,Middle-aged,Young,Middle-aged,Young,High
63.76311431,23.42257606,18.9419802,Present,High,Low,11.94565257,51.63045905,Moderate,Moderate,Present,None,Balanced,Present,Low,0.293256122,Young,Young,Older,Young,Low
63.82469247,23.4139778,18.91346535,Present,High,None,11.94474047,51.64057606,High,None,Present,Present,Imbalanced,Absent,High,0.292798492,Young,Young,Older,Young,Low
63.88627063,23.40537954,18.8849505,Absent,Moderate,None,11.94382838,51.65069307,None,Low,Absent,None,Balanced,Absent,Moderate,0.292340862,Older,Middle-aged,Middle-aged,Young,High
63.94784878,23.39678128,18.85643564,Absent,High,High,11.94291629,51.66081008,None,None,Absent,None,Balanced,Absent,Low,0.291883232,Middle-aged,Young,Middle-aged,Young,High
64.00942694,23.38818302,18.82792079,Absent,Low,High,11.9420042,51.67092709,Moderate,High,Absent,Present,Imbalanced,Absent,High,0.291425602,Older,Young,Middle-aged,Young,Low
64.0710051,23.37958476,18.79940594,Absent,Moderate,Moderate,11.94109211,51.6810441,Low,None,Present,None,Imbalanced,Absent,High,0.290967972,Young,Young,Older,Young,Low
64.13258326,23.3709865,18.77089109,Present,Low,Moderate,11.94018002,51.69116112,None,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.290510341,Older,Young,Middle-aged,Young,Moderate
64.19416142,23.36238824,18.74237624,Present,Low,High,11.93926793,51.70127813,Moderate,Low,Absent,None,Imbalanced,Absent,Moderate,0.290052711,Young,Young,Middle-aged,Young,Low
64.25573957,23.35378998,18.71386139,Absent,High,Low,11.93835584,51.71139514,Moderate,Low,Absent,None,Imbalanced,Present,Moderate,0.289595081,Older,Young,Middle-aged,Young,High
64.31731773,23.34519172,18.68534653,Present,High,Low,11.93744374,51.72151215,High,None,Absent,Present,Balanced,Absent,Low,0.289137451,Middle-aged,Young,Middle-aged,Young,High
64.37889589,23.33659346,18.65683168,Present,Low,High,11.93653165,51.73162916,None,High,Absent,None,Imbalanced,Present,Low,0.288679821,Young,Middle-aged,Older,Young,Low
64.44047405,23.3279952,18.62831683,Present,Low,None,11.93561956,51.74174617,None,Low,Present,Present,Imbalanced,Absent,Low,0.288222191,Middle-aged,Young,Older,Young,Moderate
64.50205221,23.31939694,18.59980198,Absent,Moderate,Moderate,11.93470747,51.75186319,None,None,Absent,None,Imbalanced,Absent,High,0.287764561,Older,Young,Middle-aged,Young,Moderate
64.56363036,23.31079868,18.57128713,Present,Moderate,Moderate,11.93379538,51.7619802,Low,Low,Absent,Present,Balanced,Present,Low,0.287306931,Older,Young,Middle-aged,Young,Moderate
64.62520852,23.30220042,18.54277228,Absent,Moderate,Low,11.93288329,51.77209721,Low,High,Present,Present,Imbalanced,Present,High,0.2868493,Middle-aged,Middle-aged,Older,Young,Low
64.68678668,23.29360216,18.51425743,Absent,Low,Moderate,11.9319712,51.78221422,Low,Moderate,Present,None,Imbalanced,Present,Moderate,0.28639167,Young,Middle-aged,Older,Young,Low
64.74836484,23.2850039,18.48574257,Absent,Moderate,None,11.93105911,51.79233123,None,Low,Absent,None,Balanced,Present,Low,0.28593404,Middle-aged,Young,Older,Young,High
64.80994299,23.27640564,18.45722772,Present,Low,Low,11.93014701,51.80244824,Low,None,Absent,None,Balanced,Present,Low,0.28547641,Middle-aged,Young,Middle-aged,Young,Low
64.87152115,23.26780738,18.42871287,Present,Low,Low,11.92923492,51.81256526,Low,High,Absent,None,Imbalanced,Present,Low,0.28501878,Young,Young,Middle-aged,Young,Low
64.93309931,23.25920912,18.40019802,Absent,High,Low,11.92832283,51.82268227,High,High,Absent,None,Imbalanced,Present,High,0.28456115,Middle-aged,Young,Middle-aged,Young,High
64.99467747,23.25061086,18.37168317,Absent,Low,None,11.92741074,51.83279928,Low,Moderate,Absent,None,Balanced,Absent,Low,0.28410352,Older,Young,Older,Young,High
65.05625563,23.2420126,18.34316832,Present,High,Moderate,11.92649865,51.84291629,Low,None,Present,None,Balanced,Present,Low,0.283645889,Young,Middle-aged,Middle-aged,Young,Low
65.11783378,23.23341434,18.31465347,Present,High,None,11.92558656,51.8530333,High,Moderate,Present,None,Imbalanced,Present,High,0.283188259,Middle-aged,Young,Middle-aged,Young,High
65.17941194,23.22481608,18.28613861,Absent,High,Low,11.92467447,51.86315032,High,High,Present,Present,Imbalanced,Present,Low,0.282730629,Middle-aged,Young,Older,Young,Low
65.2409901,23.21621782,18.25762376,Absent,Low,Low,11.92376238,51.87326733,High,Low,Absent,Present,Imbalanced,Present,High,0.282272999,Older,Middle-aged,Older,Young,High
65.30256826,23.20761956,18.22910891,Absent,Moderate,None,11.92285029,51.88338434,Moderate,High,Absent,None,Balanced,Present,High,0.281815369,Young,Middle-aged,Middle-aged,Young,Moderate
65.36414641,23.1990213,18.20059406,Present,High,None,11.92193819,51.89350135,None,High,Present,Present,Imbalanced,Present,Low,0.281357739,Older,Young,Older,Young,Low
65.42572457,23.19042304,18.17207921,Present,Moderate,Low,11.9210261,51.90361836,High,Low,Present,Present,Balanced,Absent,High,0.280900109,Young,Young,Middle-aged,Young,Moderate
65.48730273,23.18182478,18.14356436,Absent,Moderate,Moderate,11.92011401,51.91373537,High,High,Present,Present,Imbalanced,Absent,Moderate,0.280442479,Older,Middle-aged,Middle-aged,Young,Low
65.54888089,23.17322652,18.1150495,Absent,High,Moderate,11.91920192,51.92385239,Low,High,Absent,None,Imbalanced,Present,Low,0.279984848,Older,Young,Older,Young,Low
65.61045905,23.16462826,18.08653465,Present,Low,Moderate,11.91828983,51.9339694,Moderate,Moderate,Present,None,Imbalanced,Absent,High,0.279527218,Young,Young,Older,Young,High
65.6720372,23.15603,18.0580198,Absent,High,Low,11.91737774,51.94408641,None,Moderate,Absent,None,Balanced,Present,Moderate,0.279069588,Middle-aged,Young,Middle-aged,Young,High
65.73361536,23.14743174,18.02950495,Absent,Moderate,None,11.91646565,51.95420342,Moderate,High,Absent,Present,Imbalanced,Present,High,0.278611958,Young,Young,Middle-aged,Young,High
65.79519352,23.13883348,18.0009901,Present,Low,Low,11.91555356,51.96432043,High,None,Present,Present,Imbalanced,Absent,High,0.278154328,Older,Young,Older,Young,Low
65.85677168,23.13023522,17.97247525,Present,High,Moderate,11.91464146,51.97443744,None,High,Absent,None,Balanced,Present,Low,0.277696698,Middle-aged,Young,Older,Young,Low
65.91834983,23.12163696,17.9439604,Present,Moderate,High,11.91372937,51.98455446,None,Moderate,Absent,Present,Balanced,Present,Low,0.277239068,Young,Young,Older,Young,High
65.97992799,23.1130387,17.91544554,Present,High,None,11.91281728,51.99467147,None,None,Present,Present,Balanced,Absent,Moderate,0.276781437,Older,Young,Middle-aged,Young,High
66.04150615,23.10444044,17.88693069,Present,High,None,11.91190519,52.00478848,None,None,Absent,Present,Balanced,Present,Low,0.276323807,Young,Young,Older,Young,Low
